#      Train        Test
     1.73192       2.7846 
     1.60799      2.25781 
     1.52312      1.99812 
     1.42588      2.19518 
     1.42669      2.48823 
     1.57019      1.80539 
     1.46266      2.65616 
     1.60913      2.79449 
     1.58209      2.02679 
     1.50089      1.96633 
     1.57426      1.82756 
     1.40077      2.32368 
     1.52259      2.19248 
     1.46607      3.12662 
     1.61034      2.30291 
     1.60246      2.53895 
     1.58191      2.13402 
     1.45208      2.43749 
     1.58331      2.14669 
     1.64129      2.73239 
     1.75828       2.9238 
     1.79906      2.60744 
     1.50841      2.90568 
     1.52914      2.08364 
     1.62237      3.57155 
     1.51922      3.35475 
     1.61415      2.23311 
     1.51441      2.36143 
     1.58213      2.23196 
     1.60716      2.16586 
     1.68692      2.18824 
      1.6145      2.55115 
     1.82055       2.0047 
      1.6118      2.40866 
     1.57837      1.76771 
     1.69547      2.78478 
     1.71422      3.11665 
     1.64422      2.07801 
     1.55944      2.80387 
     1.69095      2.12331 
     1.60387      2.14102 
     1.55518      2.72302 
     1.64822      2.13953 
     1.67324      2.63498 
      1.6482      2.34972 
     1.47267      1.92344 
     1.54688      2.55331 
     1.56767      2.12968 
     1.62001      2.14929 
      1.5805      2.01061 
     1.52686        2.079 
     1.48638       2.3167 
      1.6466      2.69531 
     1.51172      1.78367 
     1.59967      2.37673 
     1.44713       2.1445 
      1.5878      3.31907 
     1.54913      2.39586 
     1.55208      2.78188 
     1.66584       2.5604 
     1.56958      1.87687 
     1.66955      2.25147 
     1.59125      2.14018 
     1.47735      2.57385 
      1.6272       2.3921 
     1.73849       3.4969 
     1.64296      1.95597 
      1.6276      2.63455 
     1.54101      2.64089 
     1.60267      1.90764 
     1.55329      2.84805 
     1.55173      2.09538 
     1.52735      2.06463 
     1.58527      2.72778 
     1.46835      2.21536 
     1.58722      2.36098 
     1.55102       1.9068 
     1.50421      3.20521 
     1.63008       2.3573 
     1.69258      2.17439 
     1.57992      2.28905 
     1.68575      2.50348 
     1.50324      2.17675 
     1.62051      2.18272 
     1.46197      2.23739 
     1.59823      2.68628 
      1.5248      2.37238 
     1.50423      1.98537 
     1.42545      2.28216 
     1.50236      2.01002 
      1.4803      2.20589 
     1.41726      2.84065 
     1.55299      1.93554 
     1.55158      2.14858 
     1.53028      2.00991 
     1.54274      2.68832 
     1.52053      2.38547 
      1.4053      2.16631 
     1.45333      1.88327 
     1.43984      2.44437 
     1.53664      2.16023 
     1.49248      2.46257 
     1.53743      2.32963 
     1.56277       2.1397 
     1.55373      2.41111 
     1.56432      2.10299 
     1.64834      1.96497 
     1.51853      2.53637 
      1.5968      2.17586 
     1.49143      2.49918 
     1.51765       2.7632 
     1.46083      2.80367 
     1.55671      2.16045 
     1.52613       2.3831 
     1.53164      2.31737 
     1.44731      2.66731 
     1.50785       2.1278 
     1.46456      2.36552 
     1.65056      2.13325 
     1.58008      2.10209 
     1.39539      2.07263 
     1.45465      2.45303 
     1.60804      2.39806 
     1.48557      2.42934 
     1.57173      2.76654 
     1.52141      2.28906 
     1.46816      2.54759 
     1.45256      2.05737 
      1.4813      2.40212 
     1.54821      2.32164 
     1.54301      2.64716 
     1.42771      2.75827 
     1.42744      2.46483 
     1.53285      2.31912 
     1.40604      2.88031 
     1.47064      2.03651 
     1.47947      2.00958 
     1.53828      2.54939 
     1.52908      2.24293 
     1.45294      2.92389 
     1.41695      2.44068 
     1.40492      1.94948 
     1.48064      2.55682 
     1.54299      2.59559 
     1.44365      1.95353 
     1.45765      2.13839 
     1.55453      2.34992 
     1.39325      1.98488 
     1.55168      2.33237 
     1.58476      2.04065 
     1.52331      2.26879 
     1.40529      2.29224 
     1.53012      2.01299 
     1.50151      2.68197 
     1.44969      2.02105 
     1.53743      2.29383 
     1.40065      2.13631 
     1.40976      3.00615 
     1.46009      2.08868 
     1.40534      2.40224 
     1.43771      1.63994 
     1.62614      1.96325 
     1.56676      1.92352 
     1.60504      2.22675 
     1.46326      1.89361 
     1.47207      2.14318 
     1.52176      2.68441 
     1.44219      1.95503 
      1.4312      1.98564 
     1.50216      2.16851 
     1.47609      3.20506 
     1.67182      3.62491 
     1.55837      2.33544 
     1.64106      2.15813 
     1.45131      1.74217 
     1.41145      2.40252 
     1.49224      1.94145 
     1.39674      1.96432 
      1.5606      3.02095 
     1.36911      2.32336 
      1.4475      2.22646 
     1.38297      2.88831 
     1.40978      2.05753 
     1.44292      2.00364 
     1.39694      2.17748 
     1.42016      1.93063 
     1.50896      2.36712 
     1.45581      2.30229 
     1.36572       3.6245 
     1.42834      2.06235 
     1.42504      1.76921 
     1.46799      1.88869 
      1.4781      2.04152 
     1.45589      1.72949 
      1.4703       2.3182 
       1.368      1.84187 
     1.43196      1.93115 
     1.51312      3.49901 
     1.54631       1.9379 
     1.41577      1.96537 
     1.36078        2.342 
     1.39089      2.17263 
     1.30575      2.48229 
     1.39631      2.31616 
     1.28275      2.01595 
      1.4473      2.08963 
     1.40925      2.87224 
     1.52576      2.37869 
     1.54353      2.85873 
     1.53131      2.80481 
     1.51291      2.20442 
     1.50325       1.7984 
     1.67808      2.51612 
     1.55839      2.17671 
     1.50961      2.45161 
     1.49403      2.11903 
        1.45      2.23575 
     1.39093      2.12873 
     1.39672      1.93638 
     1.48307      2.34826 
     1.33107       2.1139 
     1.52445      2.43225 
      1.4193      2.07421 
     1.44788      2.39838 
     1.55047      2.33881 
     1.36172      2.09937 
     1.36323      1.90767 
     1.31801      2.33369 
     1.40636      2.11737 
     1.32046      2.16694 
     1.31126      2.75456 
      1.3113      2.21406 
     1.33698       2.2635 
     1.49235      2.51613 
     1.32665      2.31979 
     1.34034      2.27495 
     1.37141      2.56235 
     1.36914      2.11724 
     1.44569      2.06849 
     1.37647      2.08127 
     1.30048      2.15158 
     1.33767       1.6764 
     1.25749      1.66767 
     1.24448      2.09968 
     1.31841      3.48084 
     1.34217      2.02241 
     1.29234      2.25156 
     1.26129      2.35711 
     1.26621      1.68596 
     1.32028      1.72093 
     1.27886      1.85354 
     1.40137      2.02865 
     1.41842      2.94271 
      1.2786      3.41191 
     1.40868      2.45454 
     1.40127      2.48762 
     1.33312      1.83976 
     1.28333      2.59215 
     1.30274       2.0911 
     1.20129      2.10321 
     1.43412      1.84676 
     1.33652       1.7956 
     1.33516      2.43599 
     1.34432      2.09593 
     1.29409      1.77962 
     1.38671      2.14012 
     1.46432      1.99489 
     1.32783      2.14225 
     1.34122      2.72018 
     1.44401      2.32242 
     1.40994      3.04006 
     1.29841      1.97736 
     1.42352       2.0152 
     1.37799      1.86341 
     1.28418       1.9947 
     1.22866      1.76009 
     1.32721      2.15511 
     1.30122      2.22123 
     1.28978      2.37307 
     1.24926      2.15684 
     1.35226      1.64217 
     1.29968      2.15085 
     1.45095      2.17918 
     1.30358      2.45733 
     1.36012      1.86041 
     1.32431      2.34345 
     1.31485       1.8012 
     1.32808      1.76391 
     1.37545      1.98233 
      1.3725      2.45444 
     1.34053      1.70691 
     1.27003      2.12292 
     1.24208      2.56549 
     1.40754      2.09528 
     1.50184      2.59225 
     1.36677      2.26293 
     1.41377      2.07239 
     1.45685      2.21869 
     1.35388      1.71319 
      1.3408      2.77739 
     1.32389      2.08791 
     1.31696      1.93489 
     1.30805      1.74366 
     1.35881      1.96453 
     1.38427      1.95612 
     1.37101      2.26366 
     1.45641        2.661 
     1.34886      2.15207 
     1.38439      2.39426 
        1.36       2.7653 
     1.37811      2.78468 
     1.31216      2.10769 
     1.29751      2.39597 
     1.38171      1.77364 
     1.36713      2.07771 
     1.41156       2.1707 
     1.21879      1.84968 
     1.37912       2.5339 
     1.25827      2.23234 
     1.34818      1.78719 
     1.36224      1.92023 
     1.44316      1.86332 
     1.32799      2.62849 
       1.389      2.13182 
     1.34537      2.10448 
     1.32885      2.10808 
     1.33014      2.11223 
     1.54859       1.9205 
     1.47971      2.38795 
     1.40643      2.56963 
      1.4355      1.77028 
     1.31729       2.3434 
     1.47356      2.31794 
     1.35842      2.44731 
     1.43174      2.16393 
     1.42035      1.70469 
     1.31511      2.29854 
     1.42319      2.58486 
     1.29373      2.33908 
     1.32346      2.64772 
     1.28503      3.11613 
     1.30909      2.26424 
     1.44167      1.88411 
     1.34529      2.14904 
     1.42559      1.95418 
     1.51009      3.02913 
     1.43703      2.47134 
     1.37674      1.94013 
     1.34797      2.10552 
     1.58408      2.49475 
     1.45998      2.36249 
     1.45904      1.93989 
      1.5225      2.12365 
     1.46213      1.90999 
     1.55108      2.19034 
     1.39694      2.74347 
     1.49968      2.51424 
     1.55143      2.31539 
     1.50696      1.86308 
      1.4241      2.05262 
     1.43516      1.85534 
     1.31286      2.26906 
     1.38468      2.24577 
     1.45947       1.6012 
     1.38434       2.8217 
     1.40489      2.11122 
     1.37794      2.45565 
     1.33847      2.40967 
     1.32812      1.52687 
     1.38365      2.34521 
     1.36775      2.48053 
      1.3589       2.7771 
     1.44212       2.4479 
     1.40799      2.68795 
     1.50598      2.70372 
     1.42485      2.06694 
     1.41454      2.47464 
     1.44453      1.97918 
     1.36484      1.85363 
     1.33194      2.10116 
     1.53461      2.10377 
      1.5654      2.02832 
     1.35909      1.92534 
     1.40086      2.85637 
     1.46551       1.7197 
     1.51643      2.63454 
      1.5551       2.0804 
