#      Train        Test
     5.99441      6.85587 
     5.92777      6.73764 
     6.12001      6.57007 
     6.07855      6.57988 
     6.03199      6.87272 
     6.03243      7.10283 
     6.02729      7.04408 
     6.02872      6.77335 
     6.13922      6.75227 
     5.95537       6.6352 
     6.05877       6.5626 
     6.06731      6.88745 
     6.12881       6.6158 
       6.058      6.70909 
     5.94905      6.66081 
     6.05787      7.00476 
     6.03177      6.64027 
     6.01143      6.53541 
     5.89918       6.6309 
      5.9999      7.17383 
     5.99973      6.58812 
     5.90644      6.82148 
     5.93021      6.29268 
     5.98268      7.15275 
     5.86203      6.58122 
     6.06597      6.49821 
     5.97511      6.55218 
     6.03965      6.98692 
     6.05004      6.66544 
     5.94095      6.51954 
     5.91918      7.01467 
     5.95762      6.55169 
     5.96476      6.54362 
     5.98087      7.10473 
      5.9398      6.87257 
      5.9641      6.58715 
     6.11632       6.8985 
      5.9069      7.06003 
     5.94368      7.06978 
     5.93934      6.80364 
     5.96367      6.97139 
     5.96183       6.9972 
     5.94983      6.61709 
      5.9588      7.00031 
     5.93941       7.1916 
     6.02419       6.6967 
     5.83931      6.65607 
     5.90177      6.88317 
     5.99286      6.48094 
     5.98358      6.75549 
     5.86601      6.70609 
     5.97521      6.80105 
      5.9798      6.89646 
     5.96407      6.58059 
     5.89205      6.18538 
     5.94629      6.64502 
     6.00298      6.60828 
     6.01491       7.5148 
     5.89553      7.08518 
     6.03029      7.07838 
     5.99046      7.11549 
     6.00355      7.41695 
     6.05988      6.79571 
     6.02563      6.69581 
     5.93209       6.6885 
     5.94548      6.74589 
     5.88511      6.82735 
     5.89341      6.92652 
     5.89831      6.76043 
      5.8724      6.96589 
     6.02339      6.58975 
     5.91552      6.77459 
     6.07096      7.22984 
     5.86952      6.76348 
     5.82725      6.71916 
     5.95645      7.21984 
     5.94331       6.4746 
     5.85922       6.6061 
     5.81412      6.77325 
      5.8917      6.35928 
     5.94258      7.31517 
     5.90942      6.63167 
      5.8207      6.72519 
     5.83813      6.65316 
     6.00465      6.89402 
     5.80711       6.6623 
     5.90839       6.8704 
     5.86986      7.08708 
     6.04754      6.91272 
     5.94027       6.5734 
      5.8707       7.0439 
     5.79075      6.89098 
      5.8598      7.01664 
     5.91985       6.4505 
      5.9218       6.8191 
     5.87086      6.97112 
     5.81756       6.1731 
     5.84602      6.65912 
     5.81722      6.58688 
     5.89195      6.50441 
     5.91468      6.80708 
     5.75237        6.587 
     5.81196      6.78546 
     5.81142      6.76866 
     5.69196      7.59615 
     5.79051      6.68715 
      5.8017      6.68698 
     5.85376       6.8315 
     5.77656      6.57666 
     5.74804      6.71761 
     5.82512      7.01432 
     5.87925      6.49255 
     5.95984      6.46102 
     5.85128       6.4494 
     5.88941      7.05131 
      5.7837      7.06944 
       5.915      7.55586 
      5.8846      6.98052 
     5.82718      6.79214 
     5.83932       6.9898 
     5.75604      6.58846 
     5.75411      6.89344 
     5.89101      6.82703 
     5.74366       6.7492 
     5.68186      6.63155 
     5.85902      6.98301 
     5.76537      6.28973 
     5.89876      6.54191 
     5.78589      6.42497 
     5.73577      6.71677 
     5.63655       6.6277 
     5.74761      6.68018 
     5.91516      6.37137 
     5.71061      6.77575 
     5.89801       6.9908 
      5.7864      6.44752 
     5.72792      7.05948 
     5.78077      6.65954 
     5.68777      7.08557 
     5.73962      6.76643 
     5.74943      6.42509 
     5.72002      7.08206 
     5.85798      6.87287 
     5.72995      6.49697 
     5.64525      6.85915 
     5.71133      6.70255 
     5.78983      6.97249 
     5.67872      6.94336 
     5.62045      6.97477 
       5.769      6.51162 
     5.80916       6.6984 
     5.78971      6.49704 
      5.7576      6.43259 
      5.8558      6.08964 
     5.70717      7.13876 
      5.8757      6.65888 
     5.82129      6.40829 
     5.82968      7.10374 
      5.8453      7.03231 
     5.81319       6.2012 
     5.83228       6.3648 
     5.76792      6.25628 
     5.70492      6.70791 
     5.81147      6.53393 
     5.67859      6.93439 
     5.88672      7.09834 
     5.82924      7.02129 
