#      Train        Test
      11.959      8.61494 
     9.63825      7.86776 
     8.77448      7.90263 
     8.63246      7.83577 
      8.5045      7.46756 
      8.3268      7.06076 
     7.94626       7.0058 
     8.05268      7.21597 
      7.7544      7.08089 
       7.811      7.48602 
     7.87284       6.8757 
     7.66613      6.64396 
     7.72011       6.7015 
      7.6857      7.28448 
     7.75686      7.50978 
     7.81053      6.60582 
     7.47475      7.66353 
     7.75044      6.79078 
     7.61585      6.53898 
     7.47008      6.49591 
     7.36546      6.39889 
     7.47114      6.56368 
     7.42267      6.76908 
     7.22148      6.44512 
     7.29124      6.51291 
     7.29845      6.39624 
     7.40603      6.67479 
     7.32699      7.19889 
     7.30802      7.53305 
     7.72187      6.79828 
     7.46644      6.40685 
     7.11294      6.73564 
     7.31771      6.40307 
     7.49546      6.38312 
     7.24808      6.33232 
     7.23122      6.55457 
     7.20538      8.86906 
     7.07198      6.70232 
     7.31262      6.27146 
     7.21193      7.38361 
     7.16229      6.81535 
     7.06924      6.45581 
     7.10416      6.55741 
      7.2153       6.7171 
     7.04796      6.79569 
     6.99102       6.4496 
     7.20346      6.76743 
     7.24658      7.36385 
     6.99079      7.08833 
     7.14222      6.55573 
     7.10061      6.78794 
     7.17688      6.40241 
     7.11303      6.60955 
     7.13496       6.3132 
     7.11973      6.72709 
     6.93226      6.40526 
     6.95367      6.75368 
     6.93845      6.48793 
     6.93244      6.73809 
     7.02115      6.26433 
     7.02071      6.52547 
     7.01937      6.36196 
     6.97563      6.36531 
     7.07866      6.18823 
     7.00717      6.79396 
     7.13354      6.82369 
      7.0424      6.64287 
       6.891      6.26428 
     6.90199      6.20221 
     6.90418      6.80977 
     6.91994      6.45978 
      6.9566      6.68305 
     6.83398      6.92016 
     6.85787      7.10966 
     6.95547      6.67377 
     7.09518      6.27149 
     6.93556      6.43595 
     6.75614      6.26091 
     6.72065      6.18282 
     6.95215      6.33432 
     6.78143      6.51294 
      6.7861      6.24972 
     6.70458        6.697 
     6.64761      6.63821 
     6.78659      6.60268 
     6.66089      6.87597 
     6.72269      6.25869 
     6.61921      6.25952 
     6.75859      6.21989 
     6.77928      6.35902 
     6.75879      6.32382 
     6.60713      6.57719 
     6.69195      6.34982 
      6.7602      6.51557 
     6.70332      6.75376 
     6.65076      6.13234 
     6.61705      7.21621 
     6.66906      6.63515 
     6.53676      6.52057 
     6.62901      6.44277 
     6.66405      6.26229 
     6.63625      6.46457 
      6.5415      6.26483 
     6.74871      6.36233 
     6.71982      6.34285 
     6.72304      6.70672 
     6.70059      6.32021 
     6.59206      6.53544 
     6.58581      6.41482 
     6.64253       6.6172 
     6.55275       6.2389 
     6.58069      6.45599 
     6.78008      6.70976 
     6.60821      6.28849 
     6.56962       6.1707 
     6.38055      6.16295 
     6.58301      6.28777 
     6.55675      6.22175 
     6.60412      6.20882 
     6.57814      6.19289 
     6.54734      6.31287 
     6.60994      6.14366 
     6.62944      6.47927 
     6.64062      6.69955 
     6.63261      6.14027 
     6.59533      6.06384 
     6.56763      6.09491 
     6.59261      6.08547 
     6.66937      6.58801 
     6.62505      6.50999 
     6.54219      6.39206 
      6.6281       6.2431 
     6.43518       6.2665 
     6.41251      6.51321 
     6.53036      6.22828 
     6.53088      6.09033 
     6.37559       7.0243 
     6.54355      6.04847 
     6.34561       6.0503 
     6.43682      6.31254 
     6.49319      6.68065 
     6.46196      6.35268 
     6.43726      6.29444 
     6.47149       6.0364 
     6.62549      6.61732 
     6.40233      6.01553 
     6.56329      6.74735 
     6.70362      6.25292 
     6.58798      6.15355 
     6.54467      6.54101 
     6.73911      7.01735 
     6.70545       6.6398 
     6.57268      6.18261 
     6.51475      6.81132 
     6.39846      5.99399 
     6.35099      6.07982 
     6.35739      6.13819 
     6.42113      6.05737 
     6.40643      6.10215 
     6.40785      5.89122 
     6.34141      6.34232 
     6.34106      6.16516 
     6.24234      6.25352 
     6.29994      5.99335 
     6.46345       6.0238 
