#      Train        Test
     10.0484       6.6723 
     5.61031      4.96674 
     4.37562      3.99206 
     3.36174      3.06733 
     2.81893      2.62391 
     2.41727      2.56523 
     2.26611      2.86978 
     2.16352      2.62535 
     2.12002       2.1882 
     1.94596      2.20544 
     1.87688      2.12186 
     1.82701      2.20873 
     1.80095       2.2397 
      1.7303      1.99338 
     1.66594      2.06422 
     1.61502      1.95395 
     1.54476      1.89155 
     1.58134      2.02677 
     1.70805      2.03834 
     1.63942       2.1584 
     1.74073      1.94843 
     1.77274       2.1366 
     1.59447      2.14024 
     1.59121       2.0695 
     1.59622      1.94703 
     1.65766      1.91046 
     1.52843      2.01805 
     1.50886      1.80927 
     1.48071      2.19305 
     1.47028      1.93622 
      1.4633      2.13406 
     1.48752       1.8031 
     1.53338      1.89816 
     1.39906      2.12615 
     1.48605      1.87011 
     1.44122      2.05194 
      1.5676      1.92392 
     1.49345      1.85377 
     1.47364      2.03847 
      1.5499       1.8303 
     1.40678      2.14711 
     1.38977      1.89026 
     1.52473       2.0843 
     1.46042      2.06762 
     1.43632      2.04301 
     1.35873      1.93685 
     1.38465      1.66417 
     1.39877      1.90108 
     1.41154       1.7856 
     1.53226      1.97643 
     1.41807      2.29554 
     1.46011      2.06172 
     1.44711      1.85497 
     1.49102      2.04784 
     1.43171      1.97805 
     1.38031      2.08083 
     1.36856      1.69273 
     1.41184      1.69293 
     1.43549      1.95656 
     1.43416      2.09951 
     1.41813      1.69818 
     1.42409       2.3104 
      1.3845      2.14892 
     1.42286      2.13416 
     1.37084      2.09833 
     1.38599      2.07578 
     1.37646      1.67169 
     1.37785       1.8625 
     1.38116      2.03248 
     1.39826      1.96716 
     1.31847      1.89434 
     1.28479      2.03926 
     1.25845      1.61941 
     1.43814      3.14976 
     1.40704       3.8208 
     1.52381      2.89711 
     1.54086      1.74765 
     1.44806      1.94762 
     1.51907       1.9195 
     1.43639      2.56741 
     1.39192      1.83997 
     1.43634      2.08724 
     1.48206       2.0895 
     1.36298      1.72081 
     1.42336      1.80091 
      1.4157      1.89738 
     1.61126      1.93635 
     1.48506      1.83615 
     1.55274       2.2786 
     1.50952      2.24164 
     1.64287      1.95967 
     1.56112      2.19337 
     1.46636      1.79335 
     1.51512      2.07432 
     1.45238      2.22924 
     1.63279      2.13496 
     1.52533      1.80653 
     1.49112      2.06685 
     1.57713      2.81373 
     1.50721       2.4463 
     1.54018      2.83454 
     1.51035      2.19358 
     1.68655      1.88448 
     1.51701      1.56713 
      1.5699        2.225 
     1.52696      2.35622 
     1.50876      2.30517 
     1.55892      2.21169 
     1.52871      2.00651 
     1.55079      1.81422 
     1.52734      1.93502 
     1.47011      1.59679 
     1.48352      2.05808 
     1.53351      2.73474 
      1.4479      1.52206 
     1.54375      2.06033 
     1.62826      2.69138 
     1.62582      3.07305 
      1.6456       2.3179 
     1.65652      2.93346 
     1.67665      2.34904 
     1.69359      3.13121 
     1.64952      2.32233 
     1.59666      2.31647 
      1.5931      2.22197 
     1.52819      2.12335 
      1.5809      2.28188 
     1.64908      1.86758 
     1.65574      2.93938 
     1.61634      2.53783 
      1.6371      2.42486 
      1.5814      1.47053 
     1.57994       2.5345 
     1.55381      2.25476 
     1.63913      2.57883 
     1.54044       1.7979 
     1.43763      2.64918 
     1.58714      2.10639 
     1.66478      2.52283 
     1.74898      2.04051 
     1.67845      2.00238 
     1.53439      2.09152 
     1.50369      2.03794 
     1.67677      2.20186 
     1.55115      1.72614 
     1.45377      3.04404 
     1.48935      2.56019 
     1.52363      2.13507 
     1.63675      2.17854 
     1.56982      2.35589 
     1.51426      2.50462 
     1.56488      1.74568 
     1.50877      2.50264 
     1.46448      2.43482 
     1.50393      1.93083 
     1.61509      2.60818 
     1.48036      1.99053 
     1.50802      1.65525 
     1.60218      2.21745 
     1.45301      2.16186 
     1.52094      2.02347 
     1.47007      1.84084 
     1.39477      1.87005 
     1.51972      1.90589 
     1.50682      1.98044 
     1.50435      2.10752 
     1.47035      2.08628 
     1.42667      1.85332 
     1.48235      2.52986 
     1.49392      2.23602 
      1.4484      1.53638 
      1.4479      2.51686 
     1.44421      2.38691 
     1.39003      2.13918 
     1.62935      2.14769 
     1.52355      2.28899 
     1.47723      2.01667 
     1.37224      2.14425 
     1.40064      1.94739 
     1.44421      3.09282 
     1.58978      2.09207 
     1.59312      2.14331 
      1.6251      2.37655 
     1.58279      2.41096 
     1.48498      2.19457 
     1.47523      2.26386 
     1.56584      1.96559 
     1.57999       1.7265 
     1.41993      2.57505 
     1.37345      1.78757 
     1.52918      1.95341 
     1.50282      1.99589 
     1.48891      2.14695 
     1.49009      1.87667 
     1.44328      2.62756 
     1.45207      2.35816 
     1.48593      2.04785 
     1.57158      2.03573 
     1.45074      2.08313 
      1.5748      1.79621 
     1.45257      1.88669 
     1.44968      2.10572 
      1.3998      2.11842 
     1.39758      1.66095 
     1.40536      2.16806 
     1.53961      2.22698 
