#      Train        Test
     11.4856      9.79045 
     9.27952      9.42735 
     8.81227      9.38043 
     8.46012      8.18817 
      8.4049      8.57109 
     8.09784      8.45775 
      7.9796      8.36045 
     7.93476      8.68109 
     7.88847      8.16011 
     7.64812      8.45128 
     7.73722       8.3966 
     7.62306      8.10639 
     7.59571      8.12462 
     7.42438      8.32954 
     7.48523      7.83113 
     7.46699      8.06638 
     7.35011      8.41856 
     7.29026      7.47244 
     7.37806      8.67037 
     7.33839       7.9945 
      7.3734      7.97894 
      7.3789      7.63003 
     7.24647      7.79064 
     7.32382      7.65492 
     7.08046      7.31431 
     7.38419      7.76592 
     7.26409      8.07667 
     7.16343      8.11215 
      7.2151      7.80489 
     7.20247      7.47005 
     7.11534      7.52661 
     7.10466      7.29187 
     7.08005      7.73609 
     6.94787      8.21102 
     7.01852      7.97575 
     7.00155      8.00309 
     6.95418      7.72272 
     7.01502      7.42075 
     7.05225      7.56046 
     6.91384      7.39223 
     6.86564       7.6158 
     6.98699      7.02593 
     6.97947      7.52524 
     7.02911      7.66189 
     6.86248      7.70287 
     6.85858      7.54386 
     6.75862      7.19314 
     6.76533      8.00821 
     6.82892      7.71259 
     6.71746      7.33318 
      6.6548      7.19028 
     6.72717      7.23211 
     6.81365      7.41223 
     6.86251      7.55446 
     6.80324      7.74617 
     6.72734      8.02305 
     6.75136      7.91059 
     6.89379      7.74825 
     6.82761      7.52984 
     6.81644      7.17481 
     6.79217      7.17802 
     6.77679      7.49629 
     6.84369      7.43594 
     6.73332      8.19665 
     6.70939      7.40987 
     6.71388      7.35621 
     6.66817      7.71333 
     6.63685      6.87283 
     6.73297      7.26145 
      6.7984      7.50273 
     6.75515       7.4831 
     6.81998      7.17986 
     6.60123      7.20951 
     6.76842      7.33128 
     6.53435      7.27814 
     6.70426      6.91265 
     6.68793      7.36164 
      6.5821      7.07064 
     6.71851      7.81537 
      6.5816      6.86045 
      6.6059      8.01539 
     6.67014      7.45387 
       6.584      7.66175 
     6.53896      7.22473 
     6.60027      7.33438 
     6.52892      7.38739 
     6.52986      7.40046 
     6.36858      7.57511 
     6.74356      7.00368 
     6.45825       8.0191 
     6.64689      7.41673 
      6.5426      6.79352 
