#      Train        Test
     14.6208       16.047 
     13.5372      17.1431 
     12.7584      13.3355 
     11.6167      13.1194 
     10.7399      12.1619 
     10.2486      11.1228 
     9.93241      11.2011 
     9.09863      9.99318 
     8.86206      9.08534 
     8.05944      9.61275 
     7.80998      8.86239 
     7.46133      8.98384 
     7.54624       8.3764 
     6.87679      8.00454 
     6.72595      7.49307 
     6.50669      8.22544 
     6.45337      7.20435 
     6.06108      7.06661 
     6.03988      7.09215 
     5.73736      7.43223 
     5.83708       7.0439 
     5.76767      7.13754 
      5.6095      6.66272 
     5.24284      7.61423 
     5.42277      6.73789 
     5.10089      6.78747 
     5.06751       6.1353 
     5.02082       6.4553 
     4.73644       5.9343 
     4.76033      6.30939 
     4.65404      6.32002 
      4.6064      5.91958 
     4.55168      6.04552 
     4.46314      6.20731 
     4.54698      6.10399 
     4.61794      5.86137 
     4.33822      6.10821 
     4.39376      5.41628 
      4.2882      5.70075 
      4.2961      5.30761 
      4.2971      5.14501 
     4.18387      6.09083 
     4.17165      5.48234 
     4.13568      5.14592 
     3.90867       5.2965 
      3.9618      5.32484 
     3.82235      5.27223 
     3.85472      5.07011 
     3.73163       4.9803 
     4.03443      5.43472 
     3.88837      5.06368 
     3.87223      5.52304 
     3.76798      5.02077 
      3.6274      5.32115 
       3.749      4.99581 
     3.50653       4.7383 
     3.65723      5.29118 
     3.56676      4.95903 
     3.60796      4.86733 
     3.48866      4.39783 
     3.48948      4.76622 
     3.53747      5.18238 
     3.46213      5.17825 
     3.42739       4.8004 
     3.48784      4.18357 
      3.3167       4.7467 
     3.38224      4.70797 
     3.35387      4.97981 
     3.30758      4.56193 
     3.47425      4.65902 
     3.24705      5.03862 
     3.49824      4.63716 
     3.33111      4.41912 
     3.23681       4.7447 
      3.2866        4.673 
     3.12934      4.23013 
     3.19654      4.38537 
      3.1751      4.51203 
     2.98277      4.56291 
     2.99645      4.46481 
     3.12833      3.86667 
     3.14066      4.17768 
     3.12654      4.29582 
     2.97731      4.37448 
     2.91886      4.32812 
     2.93994      3.95615 
     2.87054      4.14857 
     2.98711      4.70429 
      2.9081      4.18732 
     3.02348      4.61224 
     2.80119      4.71323 
     2.74514      3.62786 
     2.77395      4.03563 
     2.77795       3.9145 
     2.81039      4.43079 
     2.67401      3.75285 
     2.63164      3.91524 
     2.63086      3.96297 
     2.71144      3.80217 
     2.64406      4.07272 
     2.76341      3.70584 
     2.63997       3.8372 
     2.56135      3.69917 
     2.45723       3.8848 
     2.60921       4.0835 
      2.4997      3.55572 
     2.52116      4.09756 
     2.45222      3.62651 
      2.4849      3.74491 
     2.64962      4.39836 
     2.66339      3.90485 
     2.58379      3.70844 
     2.53817      3.70164 
     2.55586      3.61398 
     2.47864      3.96035 
     2.53314      3.85407 
     2.56344      3.55288 
     2.63642      3.74847 
     2.79893      3.89552 
     2.68722      3.76443 
     2.62281      3.92773 
     2.71864       3.7263 
     2.70007      3.71563 
     2.72313      3.79443 
     2.60503      3.99216 
     2.66436      4.10665 
     2.61454      3.83973 
      2.4676      3.43318 
      2.4629       3.7394 
     2.39476      3.59198 
     2.43911      3.80398 
     2.39616      3.69464 
     2.46848       3.9128 
     2.43652      3.91921 
     2.40791      3.68593 
     2.32214      3.96012 
     2.39284      3.86805 
     2.37775      3.84499 
     2.27188      3.38516 
     2.42358      3.75248 
     2.34424       3.7645 
     2.33927      3.76267 
     2.39197      3.33789 
     2.36276      3.62041 
     2.39299      3.26847 
     2.27706      3.35975 
     2.35924      3.53053 
     2.24758      3.88815 
     2.20042      3.74767 
     2.21989        3.971 
     2.16996      3.63591 
     2.29873      3.58058 
      2.1806      3.29392 
     2.18989      3.87961 
     2.28779       3.7298 
     2.14276       3.4923 
      2.2774      3.81296 
     2.14755      3.39444 
     2.23648       3.4762 
     2.14131      3.45326 
     2.15173      3.62368 
     2.18626      3.29573 
     2.10979      3.36292 
     2.19416      4.00274 
     2.10538      3.54139 
     2.10349       3.5827 
     2.18706       3.6004 
     2.07037      3.64264 
     2.06312      3.41416 
     2.13562      3.39975 
     2.06684      3.43819 
      2.1076      3.30849 
     2.11303      3.42592 
     2.05834      3.40292 
     2.10711      2.76596 
     2.04527       3.2308 
     2.09119      3.14674 
     1.97611      3.00557 
      2.1216      3.24232 
     1.98772      3.17927 
     2.03184      3.50658 
     1.93105      3.37451 
     2.00528      3.65896 
     2.01964      3.32754 
     2.00618      3.30363 
     2.05213      3.44904 
     2.06078      3.72584 
     1.99778       3.4158 
     1.93304      3.26432 
