#      Train        Test
     6.04865      5.70575 
     6.00639      5.67768 
     5.96975      6.03969 
     5.95321      5.78731 
     6.00225      6.04891 
     5.93138      5.72622 
     5.94516      5.70301 
     6.02894      5.98531 
     5.92836      6.19779 
     5.94979      5.80328 
     6.04074       5.7388 
     6.00555      6.01111 
     5.88664      5.83116 
     5.93522      5.68321 
     5.90898      6.33124 
     6.01029      5.71931 
     5.91105      6.16335 
     5.99775      5.79748 
     5.90799       5.8195 
     5.85019      5.73342 
     5.98129      5.92979 
     5.87109      5.67356 
       5.896       5.7727 
     5.97371      5.98074 
     5.86555       5.8061 
     5.89591      5.67658 
     5.88244      5.78021 
      5.8839      5.93847 
     6.01133      5.71583 
     5.84044      5.94394 
     5.89286      6.04804 
     5.79303      5.87788 
     5.83944      5.72282 
     5.87062      5.69768 
     5.87837      5.74412 
     5.82652      6.09517 
     5.82569      5.88242 
     5.83594       5.7478 
     5.90703      5.69351 
     5.99437      5.66671 
     5.82627      5.78943 
     5.92905      5.90561 
     5.75048      5.92004 
     5.84367       5.8209 
     5.69979      5.77279 
     5.75548      5.83597 
     5.94253      5.83644 
      5.9388      5.71289 
     5.74248      5.84824 
     5.81439      5.62179 
     5.89275      5.91436 
      5.8404      5.80817 
     5.83705      5.93438 
     5.81127      5.66104 
     5.86062      5.73557 
     5.82035      5.88891 
     5.73824      5.63483 
     5.83503      5.75546 
     5.74517      5.74123 
      5.8471      5.72909 
     5.87095      5.74608 
     5.74633      5.72865 
     5.83921      5.80332 
     5.77853      5.80335 
     5.77716      5.61009 
     5.86764      5.88486 
     5.92548      5.80174 
     5.79376      5.80678 
     5.83789      6.00389 
     5.84211      5.81923 
     5.70251      5.83028 
     5.78523      5.73598 
     5.75248      5.80593 
     5.80127      5.71819 
     5.71373      5.83859 
     5.82276      5.81871 
     5.80012       5.7071 
     5.83607       5.7242 
     5.89134      5.78636 
     5.79261      5.90231 
     5.86132      5.63754 
     5.85137      5.77582 
     5.80136      5.84768 
     5.86656      5.92851 
      5.7998      6.04421 
     5.85437      5.75712 
     5.70084      5.81055 
      5.8408      6.01566 
     5.74365      5.79265 
     5.79724      5.70488 
     5.74928      5.71586 
     5.71604      5.77888 
     5.72246      5.69976 
     5.73804      5.97764 
     5.69531      5.92975 
     5.84081      6.17884 
     5.74964      5.77187 
     5.80183       5.8201 
     5.76064      5.76805 
     5.69657      5.79892 
     5.77388       5.8419 
     5.73962      5.74918 
     5.77811      5.70502 
     5.81887       5.6728 
     5.78306      5.79034 
     5.90699      5.83636 
     5.85213      5.71381 
     5.77062      5.88513 
     5.90661      5.77242 
      5.7349       5.8399 
      5.7639      5.91816 
     5.83997      5.69495 
     5.76069      5.89906 
     5.73048      5.69414 
      5.8325      5.64975 
     5.91036       5.9233 
     5.79881      5.76803 
     5.94783      5.76597 
     5.81581      5.91297 
     5.76065      5.78092 
     5.76836      5.80863 
     5.82995       6.1732 
      5.7337      5.60899 
     5.82646      5.75909 
     5.83619      5.66002 
     5.78486      5.80026 
     5.67261      5.88403 
      5.7985      5.75255 
     5.72005      5.70833 
     5.68207      5.83259 
